======================================================================
log10(x) x f(x)=(x^3)/6/(sinh(x)-x)  f1(x)  f1_blad_wzgledny f2(x) f2_blad_wzgledny
-9.78999999999999999996530553048046386 1.62181009735892997289510331665197112e-10 1 inf inf 1 -16.0000000000000000104083408558608426
-9.77999999999999999975713871336324701 1.65958690743756063428184466209568721e-10 1 inf inf 1 -16.0000000000000000104083408558608426
-9.7700000000000000004163336342344337 1.69824365246174435466924469947122066e-10 1 inf inf 1 -16.0000000000000000104083408558608426
-9.76000000000000000020816681711721685 1.73780082874937546694180179941609559e-10 1 inf inf 0.999999999999999999945789891375724778 -16.0000000000000000104083408558608426
-9.75 1.77827941003892280121423535741880121e-10 1 inf inf 1.00000000000000000010842021724855044 -16.0000000000000000104083408558608426
-9.73999999999999999979183318288278315 1.81970085860998344008704491407330712e-10 1 inf inf 1 -16.0000000000000000104083408558608426
-9.7299999999999999995836663657655663 1.86208713666286744873131758369679243e-10 1 inf inf 1 -16.0000000000000000104083408558608426
-9.72000000000000000024286128663675299 1.90546071796324718268880218977500419e-10 1 inf inf 1 -16.0000000000000000104083408558608426
-9.71000000000000000003469446951953614 1.94984459975804532351867502622376914e-10 1 inf inf 1 -16.0000000000000000104083408558608426
-9.69999999999999999982652765240231929 1.99526231496887960138679071940122411e-10 1 inf inf 1 -16.0000000000000000104083408558608426
-9.68999999999999999961836083528510244 2.04173794466952933143798803556659554e-10 1 inf inf 1 -16.0000000000000000104083408558608426
-9.68000000000000000027755575615628914 2.08929613085403948307664972128139288e-10 1 inf inf 1 -16.0000000000000000104083408558608426
-9.67000000000000000006938893903907228 2.13796208950223209749615908153031185e-10 1 inf inf 1 -16.0000000000000000104083408558608426
-9.65999999999999999986122212192185543 2.18776162394955256221906742543440687e-10 1 inf inf 1.00000000000000000010842021724855044 -16.0000000000000000104083408558608426
-9.64999999999999999965305530480463858 2.23872113856833961196131638112867519e-10 1 inf inf 1 -16.0000000000000000104083408558608426
-9.64000000000000000031225022567582528 2.29086765276777304571200759850644701e-10 1 inf inf 1 -16.0000000000000000104083408558608426
-9.63000000000000000010408340855860843 2.34422881531992211812009443683504836e-10 1 inf inf 1 -16.0000000000000000104083408558608426
-9.61999999999999999989591659144139157 2.39883291901949046530770559627326609e-10 1 inf inf 1 -16.0000000000000000104083408558608426
-9.60999999999999999968774977432417472 2.45470891568503035612856115909869952e-10 1 inf inf 1 -16.0000000000000000104083408558608426
-9.60000000000000000034694469519536142 2.51188643150958011104075441878413847e-10 1 inf inf 1 -16.0000000000000000104083408558608426
-9.59000000000000000013877787807814457 2.57039578276886380074210690936429829e-10 1 inf inf 1 -16.0000000000000000104083408558608426
-9.57999999999999999993061106096092772 2.63026799189538191728365969911566153e-10 1 inf inf 1 -16.0000000000000000104083408558608426
-9.56999999999999999972244424384371086 2.69153480392691571727431329545967589e-10 1 0.128735504022659264322203491459628566 -0.0598499831027185890650098645804355613 1 -16.0000000000000000104083408558608426
-9.56000000000000000038163916471489756 2.75422870333816644865082645462359514e-10 1 inf inf 1 -16.0000000000000000104083408558608426
-9.55000000000000000017347234759768071 2.81838293126445381919039023554120831e-10 1 inf inf 1.00000000000000000010842021724855044 -16.0000000000000000104083408558608426
-9.53999999999999999996530553048046386 2.88403150312660594228707611278725503e-10 1 -0.158379270293869411513469104557660927 0.0638507770319925945678345494127547965 1 -16.0000000000000000104083408558608426
-9.52999999999999999975713871336324701 2.951209226666385708006908591694117e-10 1 inf inf 1 -16.0000000000000000104083408558608426
-9.5200000000000000004163336342344337 3.01995172040201619852008799918133281e-10 1 inf inf 1 -16.0000000000000000104083408558608426
-9.51000000000000000020816681711721685 3.09029543251359051961907142588008705e-10 1 0.194849070186600654077551698917236678 -0.09412270119601804707132938071501016 1 -16.0000000000000000104083408558608426
-9.5 3.16227766016837933191793998743899709e-10 1 0.208784540312539942629442048238619378 -0.101705235577507570812077521138494518 1 -16.0000000000000000104083408558608426
-9.48999999999999999979183318288278315 3.23593656929628262682809786717999137e-10 1 0.22371666558004582878247789440306903 -0.10997973735473693354024399618240615 1 -16.0000000000000000104083408558608426
-9.4799999999999999995836663657655663 3.31131121482591094289779938716675048e-10 1 -0.239716726072404643719106036303667651 0.0933224606799679078366228229812762152 1 -16.0000000000000000104083408558608426
-9.47000000000000000024286128663675299 3.3884415613920254703914024226732111e-10 1 -0.256861099774936635999110848271875795 0.0992872848980133947011128027482218528 1 -16.0000000000000000104083408558608426
-9.46000000000000000003469446951953614 3.46736850452531639453621384277497918e-10 1 0.275231627173407606323698310069048034 -0.139800766499258299161985268088681522 1 -16.0000000000000000104083408558608426
-9.44999999999999999982652765240231929 3.54813389233575458439576549160625011e-10 1 inf inf 1.00000000000000000010842021724855044 -16.0000000000000000104083408558608426
-9.43999999999999999961836083528510244 3.63078054770101342460795225667770454e-10 1 inf inf 1 -16.0000000000000000104083408558608426
-9.43000000000000000027755575615628914 3.71535229097172538619247134434841712e-10 1 0.338608875651319844116843293946317317 -0.1795416374722939296639445325154405 1 -16.0000000000000000104083408558608426
